campaign_name,start_date,end_date,budget,roi,type,target_audience,channel,conversion_rate,revenue,campaign_duration,calculated_roi,roi_comparison,net_profit,start_month,start_month_name,start_quarter,start_year,end_month,end_month_name,end_quarter,end_year,start_day_of_week,campaign_quarter,revenue_category,calculated_roi_performance,budget_category,conversion_performance,profit_margin,revenue_per_day,is_profitable,is_high_performing,is_holiday_campaign,is_long_campaign,is_digital,cost_per_conversion
De-engineered analyzing task-force,2023-02-15,2024-04-22,17712.98,0.74,email,B2C,promotion,0.66,516609.1,432,2816.56,Different,498896.12,2,February,1,2023,4,April,2,2024,Wednesday,1Q2023,medium revenue,Muy alto,low budget,Alta,0.9657129926669894,1195.854398148148,1,1,0,1,0,268.37848484848485
Balanced solution-oriented Local Area Network,2022-12-20,2023-10-11,84643.1,0.37,podcast,B2B,paid,0.28,458227.42,295,441.36,Different,373584.31999999995,12,December,4,2022,10,October,4,2023,Tuesday,4Q2022,medium revenue,Muy alto,high budget,Baja,0.8152814600226236,1553.3132881355932,1,1,1,0,1,3022.967857142857
Distributed real-time methodology,2022-09-26,2023-09-27,14589.75,0.47,webinar,B2B,organic,0.19,89958.73,366,516.59,Different,75368.98,9,September,3,2022,9,September,3,2023,Monday,3Q2022,low revenue,Muy alto,low budget,Baja,0.8378172968871392,245.78887978142075,1,1,0,1,1,767.8815789473684
Front-line executive infrastructure,2023-07-07,2024-05-15,39291.9,0.3,social media,B2B,promotion,0.81,47511.35,313,20.92,Different,8219.449999999997,7,July,3,2023,5,May,2,2024,Friday,3Q2023,low revenue,Muy alto,medium budget,Alta,0.17299971480498866,151.79345047923323,1,1,0,0,0,485.0851851851852
Upgradable transitional data-warehouse,2023-06-29,2023-12-13,75569.28,0.59,social media,B2C,referral,0.67,558302.11,167,638.8,Different,482732.82999999996,6,June,2,2023,12,December,4,2023,Thursday,2Q2023,medium revenue,Muy alto,high budget,Alta,0.8646444664162204,3343.1264071856285,1,1,0,0,0,1127.8997014925374
Innovative context-sensitive framework,2023-03-01,2024-02-23,28964.45,0.59,email,B2C,referral,0.17,172882.59,359,496.88,Different,143918.13999999998,3,March,1,2023,2,February,1,2024,Wednesday,1Q2023,low revenue,Muy alto,low budget,Baja,0.8324617302413158,481.5671030640668,1,1,0,0,0,1703.7911764705882
User-friendly client-driven service-desk,2023-01-06,2023-12-11,36800.58,0.4,webinar,B2C,promotion,0.52,206241.46,339,460.43,Different,169440.88,1,January,1,2023,12,December,4,2023,Friday,1Q2023,low revenue,Muy alto,medium budget,Media,0.8215655571871922,608.3818879056047,1,1,1,0,0,707.7034615384616
Proactive neutral methodology,2022-09-06,2024-01-11,40493.88,0.16,webinar,B2C,organic,0.47,734755.76,492,1714.49,Different,694261.88,9,September,3,2022,1,January,1,2024,Tuesday,3Q2022,high revenue,Muy alto,medium budget,Media,0.9448879720248807,1493.4060162601627,1,1,0,1,1,861.571914893617
Multi-lateral dedicated workforce,2023-06-15,2024-06-15,94084.21,0.58,podcast,B2B,referral,0.23,406522.77,366,332.08,Different,312438.56,6,June,2,2023,6,June,2,2024,Thursday,2Q2023,medium revenue,Muy alto,high budget,Baja,0.7685634927657311,1110.717950819672,1,1,0,1,0,4090.617826086957
Cross-platform demand-driven encoding,2023-07-21,2023-11-04,64041.37,0.16,social media,B2B,promotion,0.55,174462.47,106,172.42,Different,110421.1,7,July,3,2023,11,November,4,2023,Friday,3Q2023,low revenue,Muy alto,high budget,Media,0.6329217968770017,1645.872358490566,1,1,0,0,0,1164.3885454545455
Networked even-keeled toolset,2023-03-16,2023-09-05,49375.81,0.58,social media,B2B,organic,0.95,680416.9,173,1278.04,Different,631041.0900000001,3,March,1,2023,9,September,3,2023,Thursday,1Q2023,high revenue,Muy alto,medium budget,Muy alta,0.9274330046769856,3933.0456647398846,1,1,0,0,1,519.7453684210526
Optional actuating standardization,2023-07-04,2024-05-06,14810.62,0.94,webinar,B2B,referral,0.45,477528.27,307,3124.23,Different,462717.65,7,July,3,2023,5,May,2,2024,Tuesday,3Q2023,medium revenue,Muy alto,low budget,Media,0.9689848309923096,1555.46667752443,1,1,0,0,0,329.1248888888889
Innovative web-enabled function,2022-11-05,2023-09-05,36848.3,0.92,webinar,B2C,referral,0.1,4190.95,304,-88.63,Different,-32657.350000000002,11,November,4,2022,9,September,3,2023,Saturday,4Q2022,low revenue,Muy bajo,medium budget,Baja,-7.792350183132704,13.786019736842105,0,0,1,0,0,3684.8300000000004
Configurable methodical service-desk,2023-03-23,2023-11-07,21510.43,0.23,email,B2B,referral,0.92,23176.85,229,7.75,Different,1666.4199999999983,3,March,1,2023,11,November,4,2023,Thursday,1Q2023,low revenue,Muy alto,low budget,Muy alta,0.07190019351206045,101.2089519650655,1,1,0,0,0,233.80902173913043
Cross-group empowering attitude,2022-09-14,2024-01-25,99520.93,0.52,podcast,B2C,paid,0.65,386133.95,498,287.99,Different,286613.02,9,September,3,2022,1,January,1,2024,Wednesday,3Q2022,low revenue,Muy alto,high budget,Alta,0.7422631964891976,775.3693775100402,1,1,0,1,1,1531.0912307692306
Fundamental dedicated encryption,2023-07-16,2023-08-17,17573.23,0.38,email,B2B,promotion,0.79,460559.74,32,2520.8,Different,442986.51,7,July,3,2023,8,August,3,2023,Sunday,3Q2023,medium revenue,Muy alto,low budget,Alta,0.9618437556005222,14392.491875,1,1,0,0,0,222.44594936708862
De-engineered 4thgeneration moratorium,2022-09-26,2024-05-30,25396.4,0.45,email,B2C,promotion,0.1,292885.55,612,1053.26,Different,267489.14999999997,9,September,3,2022,5,May,2,2024,Monday,3Q2022,low revenue,Muy alto,low budget,Baja,0.9132889963332093,478.5711601307189,1,1,0,1,0,2539.6400000000003
Managed upward-trending website,2023-02-07,2024-02-07,34644.22,0.2,podcast,B2B,referral,0.72,478980.33,365,1282.57,Different,444336.11,2,February,1,2023,2,February,1,2024,Tuesday,1Q2023,medium revenue,Muy alto,medium budget,Alta,0.9276708920385102,1312.2748767123287,1,1,0,1,0,481.1697222222222
Self-enabling human-resource infrastructure,2023-04-20,2024-01-09,60274.59,0.69,webinar,B2B,organic,0.91,974038.96,264,1516.0,Different,913764.37,4,April,2,2023,1,January,1,2024,Thursday,2Q2023,high revenue,Muy alto,high budget,Muy alta,0.9381189126151587,3689.541515151515,1,1,0,0,1,662.3581318681319
Cross-platform 24/7 archive,2023-01-16,2024-07-15,79680.62,0.9,email,B2B,promotion,0.96,435524.36,546,446.59,Different,355843.74,1,January,1,2023,7,July,3,2024,Monday,1Q2023,medium revenue,Muy alto,high budget,Muy alta,0.8170466974568311,797.663663003663,1,1,1,1,0,830.0064583333333
Future-proofed local forecast,2023-08-01,2023-08-11,46775.63,0.67,webinar,B2B,referral,0.75,814672.28,10,1641.66,Different,767896.65,8,August,3,2023,8,August,3,2023,Tuesday,3Q2023,high revenue,Muy alto,medium budget,Alta,0.942583501184059,81467.228,1,1,0,0,0,623.6750666666667
Horizontal hybrid instruction set,2022-08-26,2024-07-24,48366.5,0.21,social media,B2B,promotion,0.87,41004.95,698,-15.22,Different,-7361.550000000003,8,August,3,2022,7,July,3,2024,Friday,3Q2022,low revenue,Muy bajo,medium budget,Alta,-0.17952832523878223,58.74634670487106,0,0,0,1,0,555.9367816091954
Inverse contextually-based neural-net,2023-06-26,2024-01-28,84973.4,0.16,podcast,B2C,organic,0.16,390736.64,216,359.83,Different,305763.24,6,June,2,2023,1,January,1,2024,Monday,2Q2023,low revenue,Muy alto,high budget,Baja,0.782530248507025,1808.965925925926,1,1,0,0,1,5310.8375
Polarized hybrid system engine,2023-02-15,2023-11-17,37344.7,0.98,email,B2C,organic,0.43,463541.48,275,1141.25,Different,426196.77999999997,2,February,1,2023,11,November,4,2023,Wednesday,1Q2023,medium revenue,Muy alto,medium budget,Media,0.9194361203661859,1685.6053818181817,1,1,0,0,1,868.4813953488372
Managed analyzing service-desk,2023-07-05,2023-10-09,14391.98,0.23,email,B2C,promotion,0.83,456537.4,96,3072.17,Different,442145.42000000004,7,July,3,2023,10,October,4,2023,Wednesday,3Q2023,medium revenue,Muy alto,low budget,Alta,0.9684757919066433,4755.597916666667,1,1,0,0,0,173.39734939759035
Seamless clear-thinking product,2022-11-18,2023-10-05,99838.63,0.63,email,B2B,organic,0.18,14073.59,321,-85.9,Different,-85765.04000000001,11,November,4,2022,10,October,4,2023,Friday,4Q2022,low revenue,Muy bajo,high budget,Baja,-6.094041392423682,43.84295950155763,0,0,1,0,1,5546.5905555555555
Networked local adapter,2022-10-17,2024-07-03,29076.12,0.61,social media,B2B,referral,0.1,948309.55,625,3161.47,Different,919233.43,10,October,4,2022,7,July,3,2024,Monday,4Q2022,high revenue,Muy alto,low budget,Baja,0.9693389990641769,1517.29528,1,1,0,1,0,2907.612
Open-architected neutral open system,2023-04-19,2023-09-20,87963.28,0.69,podcast,B2B,promotion,0.57,993906.77,154,1029.91,Different,905943.49,4,April,2,2023,9,September,3,2023,Wednesday,2Q2023,high revenue,Muy alto,high budget,Media,0.9114974536293781,6453.9400649350655,1,1,0,0,0,1543.2154385964914
